"","County","Freq","Expected","Residual","Component"
"2904","2904",0,0.8242,-0.8242,-0.8242
"913","913",0,0.8237,-0.8237,-0.8237
"1320","1320",0,0.8222,-0.8222,-0.8222
"2617","2617",2,3.7565,-1.7565,-0.8213
"1533","1533",0,0.8189,-0.8189,-0.8189
"405","405",1,2.4019,-1.4019,-0.8182
"457","457",0,0.8169,-0.8169,-0.8169
"496","496",0,0.8145,-0.8145,-0.8145
"2337","2337",0,0.8136,-0.8136,-0.8136
"2033","2033",1,2.3951,-1.3951,-0.8127
"1100","1100",0,0.8108,-0.8108,-0.8108
"2272","2272",0,0.8101,-0.8101,-0.8101
"981","981",0,0.8073,-0.8073,-0.8073
"1871","1871",2,3.7326,-1.7326,-0.8042
"1613","1613",0,0.7996,-0.7996,-0.7996
"2086","2086",1,2.3775,-1.3775,-0.7981
"2660","2660",0,0.797,-0.797,-0.797
"1993","1993",0,0.7956,-0.7956,-0.7956
"2727","2727",0,0.7946,-0.7946,-0.7946
"424","424",0,0.794,-0.794,-0.794
"2805","2805",0,0.7939,-0.7939,-0.7939
"739","739",5,7.4241,-2.4241,-0.7915
"267","267",4,6.218,-2.218,-0.7912
"673","673",0,0.7897,-0.7897,-0.7897
"2096","2096",0,0.7841,-0.7841,-0.7841
"1600","1600",0,0.7823,-0.7823,-0.7823
"2603","2603",0,0.7804,-0.7804,-0.7804
"446","446",0,0.7782,-0.7782,-0.7782
"2260","2260",4,6.1941,-2.1941,-0.7772
"2437","2437",0,0.7768,-0.7768,-0.7768
"2948","2948",2,3.6929,-1.6929,-0.7761
"1276","1276",3,4.9621,-1.9621,-0.7759
"2766","2766",13,16.5866,-3.5866,-0.7756
"904","904",0,0.7754,-0.7754,-0.7754
"3092","3092",2,3.6902,-1.6902,-0.7741
"1348","1348",0,0.774,-0.774,-0.774
"1486","1486",0,0.7739,-0.7739,-0.7739
"1918","1918",1,2.348,-1.348,-0.7739
"1108","1108",0,0.7738,-0.7738,-0.7738
"259","259",1,2.3458,-1.3458,-0.7721
"279","279",0,0.7715,-0.7715,-0.7715
"2922","2922",5,7.3872,-2.3872,-0.7714
"1270","1270",0,0.7703,-0.7703,-0.7703
"347","347",2,3.6819,-1.6819,-0.7683
"355","355",5,7.3808,-2.3808,-0.768
"3079","3079",3,4.9493,-1.9493,-0.7677
"216","216",7,9.7331,-2.7331,-0.7675
"1287","1287",6,8.5635,-2.5635,-0.7674
"2914","2914",0,0.7659,-0.7659,-0.7659
"410","410",0,0.7652,-0.7652,-0.7652
"442","442",0,0.7643,-0.7643,-0.7643
"266","266",0,0.7618,-0.7618,-0.7618
"411","411",0,0.7616,-0.7616,-0.7616
"2220","2220",1,2.332,-1.332,-0.7608
"1605","1605",0,0.7607,-0.7607,-0.7607
"2219","2219",4,6.1625,-2.1625,-0.7588
"406","406",1,2.3274,-1.3274,-0.7571
"1690","1690",0,0.7517,-0.7517,-0.7517
"2390","2390",0,0.7511,-0.7511,-0.7511
"2604","2604",0,0.751,-0.751,-0.751
"2655","2655",0,0.7504,-0.7504,-0.7504
"1132","1132",0,0.7503,-0.7503,-0.7503
"1367","1367",5,7.3456,-2.3456,-0.749
"1764","1764",3,4.9172,-1.9172,-0.7475
"2888","2888",0,0.7475,-0.7475,-0.7475
"636","636",0,0.7473,-0.7473,-0.7473
"2161","2161",0,0.746,-0.746,-0.746
"2103","2103",0,0.7444,-0.7444,-0.7444
"2250","2250",6,8.5169,-2.5169,-0.7438
"2204","2204",0,0.743,-0.743,-0.743
"1343","1343",1,2.3089,-1.3089,-0.742
"2775","2775",2,3.6431,-1.6431,-0.7411
"1631","1631",0,0.7403,-0.7403,-0.7403
"628","628",0,0.7401,-0.7401,-0.7401
"659","659",0,0.7395,-0.7395,-0.7395
"2704","2704",0,0.7395,-0.7395,-0.7395
"853","853",0,0.7392,-0.7392,-0.7392
"2383","2383",0,0.7382,-0.7382,-0.7382
"2860","2860",1,2.3039,-1.3039,-0.738
"2371","2371",0,0.7371,-0.7371,-0.7371
"462","462",0,0.7347,-0.7347,-0.7347
"1532","1532",0,0.7346,-0.7346,-0.7346
"3097","3097",0,0.7339,-0.7339,-0.7339
"2172","2172",0,0.7335,-0.7335,-0.7335
"250","250",3,4.8881,-1.8881,-0.7293
"966","966",0,0.7279,-0.7279,-0.7279
"1436","1436",0,0.7277,-0.7277,-0.7277
"1284","1284",29,33.9698,-4.9698,-0.7271
"1949","1949",1,2.2901,-1.2901,-0.7268
"2879","2879",0,0.7268,-0.7268,-0.7268
"915","915",1,2.2894,-1.2894,-0.7262
"2402","2402",0,0.723,-0.723,-0.723
"2139","2139",0,0.7223,-0.7223,-0.7223
"1623","1623",0,0.7213,-0.7213,-0.7213
"2698","2698",0,0.7199,-0.7199,-0.7199
"881","881",0,0.7153,-0.7153,-0.7153
